source,case_id,case_label,beta,complexity_mean,radius_count,A_transition_total_variation_mean,A_transition_total_variation_sem,A_transition_signed_variation,A_measure_axis,derivative_source
synthetic,beta_0p05,beta=0.05,0.05,0.470833333333,250,0.0136043760271,,-0.000997849467641,linear_radius,d_sampling_linear_radius_summary
synthetic,beta_0p07,beta=0.07,0.07,0.449645543981,250,0.0127812556716,,-0.00108516185794,linear_radius,d_sampling_linear_radius_summary
synthetic,beta_0p09,beta=0.09,0.09,0.41958912037,250,0.0113816122524,,-0.00109192358288,linear_radius,d_sampling_linear_radius_summary
synthetic,beta_0p11,beta=0.11,0.11,0.392230902778,250,0.0103342016792,,-0.00114279527853,linear_radius,d_sampling_linear_radius_summary
synthetic,beta_0p13,beta=0.13,0.13,0.350462962963,250,0.00885425650525,,-0.00123490220574,linear_radius,d_sampling_linear_radius_summary
synthetic,beta_0p15,beta=0.15,0.15,0.294169560185,250,0.00740790124132,,-0.00129603321477,linear_radius,d_sampling_linear_radius_summary
synthetic,beta_0p17,beta=0.17,0.17,0.235228587963,250,0.00513494673805,,-0.00137748391704,linear_radius,d_sampling_linear_radius_summary
synthetic,beta_0p19,beta=0.19,0.19,0.174971064815,250,0.00343779208207,,-0.00140906561467,linear_radius,d_sampling_linear_radius_summary
synthetic,beta_0p21,beta=0.21,0.21,0.127748842593,250,0.00192809454339,,-0.00140504482588,linear_radius,d_sampling_linear_radius_summary
synthetic,beta_0p23,beta=0.23,0.23,0.0960503472222,250,0.00147803991671,,-0.00140970797783,linear_radius,d_sampling_linear_radius_summary
synthetic,beta_0p25,beta=0.25,0.25,0.0766059027778,250,0.00144070070594,,-0.00143643433407,linear_radius,d_sampling_linear_radius_summary
synthetic,beta_0p27,beta=0.27,0.27,0.0638671875,250,0.00144323556366,,-0.0014342955397,linear_radius,d_sampling_linear_radius_summary
synthetic,beta_0p29,beta=0.29,0.29,0.0552806712963,250,0.00145697875253,,-0.00145252062674,linear_radius,d_sampling_linear_radius_summary
synthetic,beta_0p31,beta=0.31,0.31,0.0513454861111,250,0.00146034935792,,-0.00145688222111,linear_radius,d_sampling_linear_radius_summary
synthetic,beta_0p33,beta=0.33,0.33,0.0446831597222,250,0.00147778674043,,-0.00146497429087,linear_radius,d_sampling_linear_radius_summary
synthetic,beta_0p35,beta=0.35,0.35,0.042896412037,250,0.00153538349821,,-0.00146338764394,linear_radius,d_sampling_linear_radius_summary
synthetic,beta_0p37,beta=0.37,0.37,0.0422743055556,250,0.00150632981954,,-0.00147784091421,linear_radius,d_sampling_linear_radius_summary
synthetic,beta_0p39,beta=0.39,0.39,0.0403428819444,250,0.00152362882545,,-0.00148652872977,linear_radius,d_sampling_linear_radius_summary
