beta,cell_id,dataset_tag,dataset_id,ref_id,radius,H,logZ_H,logZ_H_full,R_H,gate_count,ess_H
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.1,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.1,2.0,-1.214550801760349,,0.9987302475308961,1021,969.9544705863885
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.1,4.0,-1.213280242472533,,1.0,1024,971.9085714803114
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.1,6.0,-1.213280242472533,,1.0,1024,971.9085714803114
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.1,8.0,-1.213280242472533,,1.0,1024,971.9085714803114
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.1,inf,-1.213280242472533,-5.1428810518187404,1.0,1024,971.9085714803114
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,2.5,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,2.5,2.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,2.5,4.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,2.5,6.0,-32.27348989052419,,0.040357209416787033,34,33.83919937781769
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,2.5,8.0,-29.063504662337394,,1.0,1024,1012.2208053596445
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,2.5,inf,-29.063504662337394,-37.36676267958227,1.0,1024,1012.2208053596445
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,0.5,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,0.5,2.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,0.5,4.0,-10.408948857352126,,0.294921875,302,301.9999999999998
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,0.5,6.0,-9.187904069127542,,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,0.5,8.0,-9.187904069127542,,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,0.5,inf,-9.187904069127542,-14.593988971442537,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,5,0.01,1.0,-0.011495217515569063,,1.0,1024,1023.9421452497409
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,5,0.01,2.0,-0.011495217515569063,,1.0,1024,1023.9421452497409
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,5,0.01,4.0,-0.011495217515569063,,1.0,1024,1023.9421452497409
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,5,0.01,6.0,-0.011495217515569063,,1.0,1024,1023.9421452497409
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,5,0.01,8.0,-0.011495217515569063,,1.0,1024,1023.9421452497409
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,5,0.01,inf,-0.011495217515569063,-5.957265637203615,1.0,1024,1023.9421452497409
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,6,1.5,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,6,1.5,2.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,6,1.5,4.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,6,1.5,6.0,-14.231786218039073,,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,6,1.5,8.0,-14.231786218039073,,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,6,1.5,inf,-14.231786218039073,-18.842350049345107,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,8,0.1,1.0,-7.461924113317499,,0.001743954352745353,1,1.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,8,0.1,2.0,-1.110323985595063,,1.0,1024,975.3278755633986
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,8,0.1,4.0,-1.110323985595063,,1.0,1024,975.3278755633986
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,8,0.1,6.0,-1.110323985595063,,1.0,1024,975.3278755633986
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,8,0.1,8.0,-1.110323985595063,,1.0,1024,975.3278755633986
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,8,0.1,inf,-1.110323985595063,-5.80518826097437,1.0,1024,975.3278755633986
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,9,2.5,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,9,2.5,2.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,9,2.5,4.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,9,2.5,6.0,-24.692109706856137,,0.6357421874999998,651,650.9999999999998
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,9,2.5,8.0,-24.239147543465254,,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,9,2.5,inf,-24.239147543465254,-29.54224577535179,1.0,1024,1024.0
