k,inertia,silhouette,rule,chosen
2,5985.294274399368,0.09967832149303354,low_tv_spectral_teacher,True
3,5604.247623072896,0.0821153852171019,low_tv_spectral_teacher,False
4,5345.273347177898,0.08065402867287896,low_tv_spectral_teacher,False
5,5128.915478419298,0.07051684393817052,low_tv_spectral_teacher,False
6,4969.020519161186,0.0619974186394061,low_tv_spectral_teacher,False
2,6199.83143801874,0.06439489282038252,real_even_odd,True
3,5839.4300642349,0.056826860585222336,real_even_odd,False
4,5591.276192737429,0.05647108863587041,real_even_odd,False
5,5374.693146633304,0.051193034130979004,real_even_odd,False
6,5221.913347035932,0.051371372526073406,real_even_odd,False
2,6089.901453724768,0.10695510071131964,teacher_nn,True
3,5697.800474794041,0.07029899357115608,teacher_nn,False
4,5442.819358624278,0.063710807084552,teacher_nn,False
5,5233.839417656621,0.06381298088166365,teacher_nn,False
6,5054.000185936975,0.061639493957908104,teacher_nn,False
2,6113.845665215451,0.1033668827342047,random_label,True
3,5761.745840334264,0.06353743346574696,random_label,False
4,5517.1410826503,0.06361216259231019,random_label,False
5,5304.819442695299,0.06198041192483596,random_label,False
6,5107.114007115578,0.06071821764693689,random_label,False
