selector,rule,radius,delta_phi_energy,delta_phi_full,n_units,qc_pass,claim_status
dense_qc_stable_ref30,low_tv_spectral_teacher,0.01,0.0,0.0,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.02,-5.600784381972019e-05,0.6928095200625052,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.03,-0.00016138898534155923,1.0980044907885511,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.05,-0.0005937996769790175,1.6081901355476802,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.08,-0.002024601809429224,2.0765719819095456,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.12,-0.004357150560095964,2.4795397850264465,14,False,missing_units
dense_qc_stable_ref30,low_tv_spectral_teacher,0.15,-0.007253148852844125,2.699696666145708,14,False,missing_units
dense_qc_stable_ref30,low_tv_spectral_teacher,0.2,-0.012967667905665484,2.9815473231316436,14,False,missing_units
dense_qc_stable_ref30,low_tv_spectral_teacher,0.3,-0.024557446874318302,3.375257896030559,13,False,missing_units
dense_qc_stable_ref30,low_tv_spectral_teacher,0.45,-0.03888437667310456,3.7662313180993396,13,False,missing_units_and_qc_fail
dense_qc_stable_ref30,low_tv_spectral_teacher,0.65,-0.05303054912991113,4.119660504890107,13,False,missing_units_and_qc_fail
dense_qc_stable_ref30,low_tv_spectral_teacher,0.85,-0.06344201119925563,4.377404023325807,13,False,missing_units_and_qc_fail
dense_qc_stable_ref30,low_tv_spectral_teacher,1.0,-0.07130124565019738,4.531997680611772,13,False,missing_units_and_qc_fail
dense_qc_stable_ref30,low_tv_spectral_teacher,1.25,-0.08130429758660808,4.745047508087369,13,False,missing_units_and_qc_fail
dense_qc_stable_ref30,low_tv_spectral_teacher,1.5,-0.08722719416166773,4.921372083967868,13,False,missing_units_and_qc_fail
dense_qc_stable_ref30,low_tv_spectral_teacher,1.75,-0.09610600101591803,5.066581319525263,13,False,missing_units_and_qc_fail
dense_qc_stable_ref30,low_tv_spectral_teacher,2.0,-0.10218830438116501,5.193976149787129,13,False,missing_units_and_qc_fail
dense_qc_stable_ref30,low_tv_spectral_teacher,2.25,-0.10762525232789541,5.306274377669208,13,False,missing_units_and_qc_fail
dense_qc_stable_ref30,low_tv_spectral_teacher,2.5,-0.11256280570540593,5.406654527874897,13,False,missing_units_and_qc_fail
dense_qc_stable_ref30,random_label,0.01,0.0,0.0,30,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.02,-0.00045532729002894975,0.692410200616296,30,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.03,-0.0014092658681907587,1.0967566139057017,30,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.05,-0.005275972736254794,1.6035079624884048,30,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.08,-0.015412473884010723,2.0631841098349635,30,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.12,,,0,False,missing_units
dense_qc_stable_ref30,random_label,0.15,,,0,False,missing_units
dense_qc_stable_ref30,random_label,0.2,,,0,False,missing_units
dense_qc_stable_ref30,random_label,0.3,,,0,False,missing_units
dense_qc_stable_ref30,random_label,0.45,,,0,False,missing_units
dense_qc_stable_ref30,random_label,0.65,,,0,False,missing_units
dense_qc_stable_ref30,random_label,0.85,,,0,False,missing_units
dense_qc_stable_ref30,random_label,1.0,,,0,False,missing_units
dense_qc_stable_ref30,random_label,1.25,,,0,False,missing_units
dense_qc_stable_ref30,random_label,1.5,,,0,False,missing_units
dense_qc_stable_ref30,random_label,1.75,,,0,False,missing_units
dense_qc_stable_ref30,random_label,2.0,,,0,False,missing_units
dense_qc_stable_ref30,random_label,2.25,,,0,False,missing_units
dense_qc_stable_ref30,random_label,2.5,,,0,False,missing_units
dense_qc_stable_ref30,real_even_odd,0.01,0.0,0.0,30,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.02,-1.8095005704208023e-05,0.6928474329006206,30,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.03,-5.595881248745454e-05,1.0981099209614051,30,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.05,-0.0002627300071413907,1.608521205217518,30,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.08,-0.00122883653394992,2.0773677471850247,30,True,claimable_selector_radius
