dataset_id,split_id,rule,eta,ref_id,theta_path,dataset_path,attempt_seed,optimizer_chain,P,train_error,test_error,CE_mean_train,CE_sum_train,CE_mean_test,theta_norm,min_margin,q05_margin,median_margin,mean_margin
0,0,eta_0p02,0.02,0,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_gapfill_0p02_30ref_cpu60_gpu0/04_exact_reference_search/selected_reference_pool/split_000/eta_0p02/ref_000/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_gapfill_0p02_30ref_cpu60_gpu0/01_dataset_gen/split_000/eta_0p02/rep_000/dataset.npz,2026164500,adam,2461,0.0,0.16357421875,0.0011011718525639,0.5637999885127651,0.9879443393545222,13.94674549027261,2.6588021605032868,5.262451591530875,9.715280230388748,9.047785955609452
0,0,eta_0p02,0.02,1,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_gapfill_0p02_30ref_cpu60_gpu0/04_exact_reference_search/selected_reference_pool/split_000/eta_0p02/ref_001/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_gapfill_0p02_30ref_cpu60_gpu0/01_dataset_gen/split_000/eta_0p02/rep_000/dataset.npz,2026164501,adam,2461,0.0,0.15283203125,0.0044072877814728,2.2565313441141077,0.8712407209967652,13.939488398357684,0.650263531233048,4.052330806099364,8.909395016515873,8.215934878794252
0,0,eta_0p02,0.02,2,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_gapfill_0p02_30ref_cpu60_gpu0/04_exact_reference_search/selected_reference_pool/split_000/eta_0p02/ref_002/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_gapfill_0p02_30ref_cpu60_gpu0/01_dataset_gen/split_000/eta_0p02/rep_000/dataset.npz,2026164502,adam,2461,0.0,0.16259765625,0.0014723835467987,0.7538603759609472,1.0396529879398593,14.502904116679192,2.5094103492697606,4.748531202667136,9.998411704786488,9.318277131111012
0,0,eta_0p02,0.02,3,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_gapfill_0p02_30ref_cpu60_gpu0/04_exact_reference_search/selected_reference_pool/split_000/eta_0p02/ref_003/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_gapfill_0p02_30ref_cpu60_gpu0/01_dataset_gen/split_000/eta_0p02/rep_000/dataset.npz,2026164503,adam,2461,0.0,0.15283203125,0.0010714479588481,0.5485813549302636,1.0252679692331124,15.041433313489906,2.235751482118638,5.297105832749023,10.349761394783012,9.809580393071013
0,0,eta_0p02,0.02,4,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_gapfill_0p02_30ref_cpu60_gpu0/04_exact_reference_search/selected_reference_pool/split_000/eta_0p02/ref_004/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_gapfill_0p02_30ref_cpu60_gpu0/01_dataset_gen/split_000/eta_0p02/rep_000/dataset.npz,2026164504,adam,2461,0.0,0.15576171875,0.0010424191675117,0.5337186137660271,0.9987749892263298,15.656792951414406,3.2578553887058708,5.300376644826462,10.10382825384955,9.682327471849565
0,0,eta_0p02,0.02,5,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_gapfill_0p02_30ref_cpu60_gpu0/04_exact_reference_search/selected_reference_pool/split_000/eta_0p02/ref_005/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_gapfill_0p02_30ref_cpu60_gpu0/01_dataset_gen/split_000/eta_0p02/rep_000/dataset.npz,2026164505,adam,2461,0.0,0.14794921875,0.0006898321235595,0.3531940472625053,1.0123786621111817,14.362404114771753,2.6078019554737386,6.133056241102016,10.146622411024566,9.45129343289822
0,0,eta_0p02,0.02,6,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_gapfill_0p02_30ref_cpu60_gpu0/04_exact_reference_search/selected_reference_pool/split_000/eta_0p02/ref_006/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_gapfill_0p02_30ref_cpu60_gpu0/01_dataset_gen/split_000/eta_0p02/rep_000/dataset.npz,2026164506,adam,2461,0.0,0.16259765625,0.0016183623119316,0.8286015037090241,0.960637364602878,13.895092028480647,2.4338683419251006,4.931282603205454,8.854676860629956,8.466243178628297
0,0,eta_0p02,0.02,7,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_gapfill_0p02_30ref_cpu60_gpu0/04_exact_reference_search/selected_reference_pool/split_000/eta_0p02/ref_007/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_gapfill_0p02_30ref_cpu60_gpu0/01_dataset_gen/split_000/eta_0p02/rep_000/dataset.npz,2026164507,adam,2461,0.0,0.15380859375,0.0013868989033624,0.7100922385215678,0.9806242288649878,14.305159258389564,2.015573192558556,5.261147656080857,9.734373686126771,9.375595111257416
0,0,eta_0p02,0.02,8,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_gapfill_0p02_30ref_cpu60_gpu0/04_exact_reference_search/selected_reference_pool/split_000/eta_0p02/ref_008/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_gapfill_0p02_30ref_cpu60_gpu0/01_dataset_gen/split_000/eta_0p02/rep_000/dataset.npz,2026164508,adam,2461,0.0,0.1533203125,0.0024687585535848,1.2640043794354647,0.9022800772958371,14.563391583894782,1.8939469228568464,4.475054883393059,9.254677543603805,8.708481990127403
0,0,eta_0p02,0.02,9,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_gapfill_0p02_30ref_cpu60_gpu0/04_exact_reference_search/selected_reference_pool/split_000/eta_0p02/ref_009/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/06_eta_flip_phase_transition/raw_outputs/eta_reference_search_gapfill_0p02_30ref_cpu60_gpu0/01_dataset_gen/split_000/eta_0p02/rep_000/dataset.npz,2026164509,adam,2461,0.0,0.16357421875,0.0013886837985649,0.7110061048652432,1.0080518115314596,16.054605327476725,2.176224097229292,5.266404502613218,9.81615745799219,9.50210494424616
