candidate_selector,radius,priority,task_ref_count,task_refs,reason
ref29_minus_boundary_fail_ref027,0.12,low_dense_gap,16,"31,32,33,38,40,41,42,43,44,46,49,52,55,57,58,59",missing_only
ref29_minus_boundary_fail_ref027,0.15,low_dense_gap,16,"31,32,33,38,40,41,42,43,44,46,49,52,55,57,58,59",missing_only
ref29_minus_boundary_fail_ref027,0.2,low_dense_gap,16,"31,32,33,38,40,41,42,43,44,46,49,52,55,57,58,59",missing_only
ref29_minus_boundary_fail_ref027,0.3,low_dense_gap,17,"30,31,32,33,38,40,41,42,43,44,46,49,52,55,57,58,59",missing_only
ref29_minus_boundary_fail_ref027,0.85,blocked_observed_fail,7,"33,49,52,55,57,58,59",missing_and_observed_fail
ref29_minus_boundary_fail_ref027,1.0,blocked_observed_fail,19,"5,14,30,31,32,33,38,40,41,42,43,44,46,49,52,55,57,58,59",missing_and_observed_fail
ref29_minus_boundary_fail_ref027,1.25,blocked_observed_fail,19,"3,23,30,31,32,33,38,40,41,42,43,44,46,49,52,55,57,58,59",missing_and_observed_fail
ref29_minus_boundary_fail_ref027,1.5,blocked_observed_fail,23,"5,13,16,17,23,26,30,31,32,33,38,40,41,42,43,44,46,49,52,55,57,58,59",missing_and_observed_fail
ref29_minus_boundary_fail_ref027,1.75,blocked_observed_fail,22,"3,13,14,16,28,30,31,32,33,38,40,41,42,43,44,46,49,52,55,57,58,59",missing_and_observed_fail
ref29_minus_boundary_fail_ref027,2.0,blocked_observed_fail,22,"1,5,16,26,28,30,31,32,33,38,40,41,42,43,44,46,49,52,55,57,58,59",missing_and_observed_fail
ref29_minus_boundary_fail_ref027,2.25,blocked_observed_fail,22,"2,3,5,14,16,30,31,32,33,38,40,41,42,43,44,46,49,52,55,57,58,59",missing_and_observed_fail
ref29_minus_boundary_fail_ref027,2.5,blocked_observed_fail,25,"2,3,13,16,22,23,26,28,30,31,32,33,38,40,41,42,43,44,46,49,52,55,57,58,59",missing_and_observed_fail
