rule,ref_id,tsne_1,tsne_2,umap_1,umap_2,dist_to_rule_umap_centroid
low_tv_spectral_teacher,0,12.868449,-2.7270997,17.187391,1.6034946,0.7286148954194727
low_tv_spectral_teacher,1,6.433144,1.2382897,17.289001,-0.053013455,1.0288566981034497
low_tv_spectral_teacher,2,9.206122,-3.1647675,16.134136,0.8854115,0.8111068329414557
low_tv_spectral_teacher,3,8.159139,-6.664047,17.390339,1.173069,0.5142630760565056
low_tv_spectral_teacher,4,4.573946,-7.704247,17.438866,1.2832305,0.6154184654011257
low_tv_spectral_teacher,5,5.3013697,-10.270216,17.476038,1.0684657,0.5526921487934572
low_tv_spectral_teacher,6,10.033488,-4.5924706,16.643137,1.4138321,0.5815861309699437
low_tv_spectral_teacher,7,10.038003,-1.4048659,17.011574,0.46947873,0.45200850446394997
low_tv_spectral_teacher,8,2.6643925,-2.5114102,17.923357,0.44333848,1.0870879165506264
low_tv_spectral_teacher,9,13.145592,-3.5542836,17.399122,1.8480732,1.0365169193323556
low_tv_spectral_teacher,10,6.001783,-7.515799,17.390537,0.81583035,0.45711448624197226
low_tv_spectral_teacher,11,13.890433,-2.45624,17.177181,2.1733143,1.2781400561125245
low_tv_spectral_teacher,12,11.109896,-2.9685912,16.143307,1.8966819,1.266054014057139
low_tv_spectral_teacher,13,8.038393,-2.1751156,16.300632,0.53994447,0.7460243367834645
low_tv_spectral_teacher,14,1.1552947,0.096216336,16.851814,0.12142617,0.8004799771717338
low_tv_spectral_teacher,15,8.339627,1.0841706,15.673184,0.22779626,1.4460070685000481
low_tv_spectral_teacher,16,4.8120923,-4.02369,16.075682,0.16159222,1.1510837115723136
low_tv_spectral_teacher,17,6.162433,-2.6800041,16.251867,0.24953046,0.9616644403010682
low_tv_spectral_teacher,18,3.3324718,-5.159278,17.882118,0.24156573,1.1551604178900663
low_tv_spectral_teacher,19,10.01349,-6.3277483,17.322355,1.3551332,0.578842255600792
low_tv_spectral_teacher,20,10.87885,-3.134554,16.28759,1.9647999,1.237192729852209
low_tv_spectral_teacher,21,3.0894039,-5.218136,17.884079,0.24894415,1.1524626745330382
low_tv_spectral_teacher,22,5.337124,-10.469107,16.685257,1.2068697,0.38935175871507355
low_tv_spectral_teacher,23,6.371693,-0.5559489,16.914934,0.118046805,0.7990108250806737
low_tv_spectral_teacher,24,6.638789,-3.8597858,17.070818,0.77096224,0.1926183763936554
low_tv_spectral_teacher,25,0.9524607,-1.5939658,17.21291,-0.23645936,1.1837616863087796
low_tv_spectral_teacher,26,7.5047193,-7.8680615,17.393421,1.7334843,0.9321231490442702
low_tv_spectral_teacher,27,9.856413,0.48461598,17.466448,2.20018,1.3856759994102588
low_tv_spectral_teacher,28,12.6668005,-4.945634,16.992191,0.30463287,0.613716508321939
low_tv_spectral_teacher,29,7.4222536,-3.857593,17.022896,0.6355087,0.29168785086159976
low_tv_spectral_teacher,30,5.801766,-5.9459047,16.369396,1.23381,0.6569594549984024
low_tv_spectral_teacher,31,6.233155,-3.7462225,16.648466,0.3866679,0.607001107638426
low_tv_spectral_teacher,32,9.81819,3.0917547,17.664948,1.849484,1.1786784349748014
low_tv_spectral_teacher,33,11.822223,0.5148422,17.19596,2.4701557,1.573845120058382
low_tv_spectral_teacher,34,0.71346664,-4.5702944,17.487871,0.58519036,0.6362877159571333
low_tv_spectral_teacher,35,2.5094428,-3.7223961,17.7255,0.2081081,1.0543044976468654
low_tv_spectral_teacher,36,5.694278,0.3879085,17.175314,0.099421814,0.8490183839042719
low_tv_spectral_teacher,37,7.45202,-10.595851,16.265278,1.2044097,0.7378559074313008
low_tv_spectral_teacher,38,5.508409,-7.6497574,17.170952,0.73177475,0.2921287646622345
low_tv_spectral_teacher,39,1.3045192,-2.6821256,17.644224,0.047998175,1.1152185936361307
low_tv_spectral_teacher,40,14.625695,-6.6042624,17.871067,1.2212261,0.9752483622003294
low_tv_spectral_teacher,41,4.329705,-2.0497048,16.396532,-0.11150349,1.1650026693286084
low_tv_spectral_teacher,42,7.339078,-10.643654,16.791294,1.4409001,0.5463582081422879
low_tv_spectral_teacher,43,5.1079364,1.5125685,16.977594,0.43191135,0.4857123907101276
low_tv_spectral_teacher,44,3.6854177,1.5528406,17.334509,2.1257856,1.270571532885999
low_tv_spectral_teacher,45,9.050604,-10.609168,15.990443,1.2477539,1.0100645232678984
low_tv_spectral_teacher,46,13.273505,-3.5229757,17.239077,1.3555417,0.5286228735170424
low_tv_spectral_teacher,47,6.4653316,0.33788782,17.281027,-0.121993914,1.091618733458156
low_tv_spectral_teacher,48,8.228606,-3.3036563,17.147835,1.0267867,0.2311869257245058
low_tv_spectral_teacher,49,6.702661,-1.2593038,17.050282,1.0833234,0.19745141076885844
low_tv_spectral_teacher,50,4.250322,-6.113755,16.6659,1.6044003,0.7422264765138704
low_tv_spectral_teacher,51,9.120561,-1.1228815,15.81784,1.0904049,1.1401472125459615
low_tv_spectral_teacher,52,9.536795,-11.96446,16.294538,1.9978005,1.2616817299252747
low_tv_spectral_teacher,53,9.322708,-5.372889,16.773851,0.9974564,0.18900849326694144
low_tv_spectral_teacher,54,4.765594,-2.8603282,16.038727,-0.16935965,1.4141404103816553
low_tv_spectral_teacher,55,4.3071094,-2.8726208,16.058197,-0.2111058,1.4343288770379836
low_tv_spectral_teacher,56,3.0220466,-0.7937704,16.503653,0.342578,0.7237873473225437
low_tv_spectral_teacher,57,10.27159,1.0852923,17.544127,2.388983,1.5898325182679305
low_tv_spectral_teacher,58,4.4632664,-0.61225533,16.819885,-0.3041009,1.2269654300521446
low_tv_spectral_teacher,59,5.5503106,-4.190708,16.664898,0.5920416,0.4284109396108964
low_tv_spectral_teacher,1000,6.8051643,1.5955983,17.193188,-0.09562626,1.0422006563374133
low_tv_spectral_teacher,1001,9.433388,-8.532193,17.883263,1.4821813,1.0958965873114714
low_tv_spectral_teacher,1002,8.416068,-4.234895,16.77554,0.7436511,0.2418176825069252
low_tv_spectral_teacher,1003,9.006505,-5.185411,16.572807,0.8934917,0.3725509935409564
low_tv_spectral_teacher,1004,2.2284286,-8.508834,16.946447,2.1042154,1.1877117691782497
