cell_id,dataset_tag,width,selected_ref_count,required_selected_refs,require_exact_selected_refs,exact_count,relaxed_count,fake_count,sampling_eligible_count,dedup_threshold
cell_beta_0p05_p_0p00,dataset_000_seed_001234,48,30,30,True,49,115,36,30,55.43533148828159
cell_beta_0p05_p_0p00,dataset_001_seed_101234,48,30,30,True,55,98,47,30,59.65566198861873
cell_beta_0p05_p_0p00,dataset_002_seed_201234,48,30,30,True,64,93,43,30,67.9168529112508
cell_beta_0p05_p_0p00,dataset_003_seed_301234,48,30,30,True,55,111,34,30,68.58287500785126
cell_beta_0p05_p_0p00,dataset_004_seed_401234,48,30,30,True,46,129,25,30,69.4761187936247
cell_beta_0p05_p_0p00,dataset_005_seed_501234,48,30,30,True,61,94,45,30,65.37972309195816
cell_beta_0p05_p_0p00,dataset_006_seed_601234,48,30,30,True,72,126,2,30,65.87658411144109
cell_beta_0p05_p_0p00,dataset_007_seed_701234,48,30,30,True,70,79,51,30,62.834783671701366
cell_beta_0p05_p_0p00,dataset_008_seed_801234,48,30,30,True,53,131,16,30,59.90754856879931
cell_beta_0p05_p_0p00,dataset_009_seed_901234,48,30,30,True,68,114,18,30,63.08798394569825
cell_beta_0p05_p_0p00,dataset_010_seed_1001234,48,30,30,True,78,117,5,30,59.548371249356066
cell_beta_0p05_p_0p00,dataset_011_seed_1101234,48,30,30,True,61,120,19,30,61.74261204599239
cell_beta_0p05_p_0p00,dataset_012_seed_1201234,48,30,30,True,73,106,21,30,60.50275104965537
cell_beta_0p05_p_0p00,dataset_013_seed_1301234,48,30,30,True,66,131,3,30,62.34094521968107
cell_beta_0p05_p_0p00,dataset_014_seed_1401234,48,30,30,True,62,124,14,30,63.517856826504854
cell_beta_0p05_p_0p00,dataset_015_seed_1501234,48,30,30,True,54,120,26,30,66.3559580398972
cell_beta_0p05_p_0p00,dataset_016_seed_1601234,48,30,30,True,71,113,16,30,72.06959326886258
cell_beta_0p05_p_0p00,dataset_017_seed_1701234,48,30,30,True,70,114,16,30,60.84297024946436
cell_beta_0p05_p_0p00,dataset_018_seed_1801234,48,30,30,True,61,127,12,30,67.5027061640584
cell_beta_0p05_p_0p00,dataset_019_seed_1901234,48,30,30,True,57,120,23,30,75.20555163739745
cell_beta_0p05_p_0p00,dataset_020_seed_2001234,48,30,30,True,62,128,10,30,76.14458180878569
cell_beta_0p05_p_0p00,dataset_021_seed_2101234,48,30,30,True,64,107,29,30,58.66137233161821
cell_beta_0p05_p_0p00,dataset_022_seed_2201234,48,30,30,True,34,119,47,30,70.90258215315473
cell_beta_0p05_p_0p00,dataset_023_seed_2301234,48,30,30,True,65,108,27,30,60.29534875257474
cell_beta_0p05_p_0p00,dataset_024_seed_2401234,48,30,30,True,71,120,9,30,62.969981251554174
cell_beta_0p05_p_0p00,dataset_025_seed_2501234,48,30,30,True,56,122,22,30,66.72260831333062
cell_beta_0p05_p_0p00,dataset_026_seed_2601234,48,30,30,True,53,105,42,30,59.97061932448254
cell_beta_0p05_p_0p00,dataset_027_seed_2701234,48,30,30,True,58,114,28,30,61.398895718285246
cell_beta_0p05_p_0p00,dataset_028_seed_2801234,48,30,30,True,63,113,24,30,77.62767119284318
cell_beta_0p05_p_0p00,dataset_029_seed_2901234,48,30,30,True,57,116,27,30,64.60005892024576
cell_beta_0p07_p_0p00,dataset_000_seed_003234,48,30,30,True,59,134,7,30,54.32639894477303
cell_beta_0p07_p_0p00,dataset_001_seed_103234,48,30,30,True,52,135,13,30,60.31729282944774
cell_beta_0p07_p_0p00,dataset_002_seed_203234,48,30,30,True,62,113,25,30,58.347495764833255
cell_beta_0p07_p_0p00,dataset_003_seed_303234,48,30,30,True,59,107,34,30,64.2224039923773
cell_beta_0p07_p_0p00,dataset_004_seed_403234,48,30,30,True,59,139,2,30,68.05068118473012
cell_beta_0p07_p_0p00,dataset_005_seed_503234,48,30,30,True,72,94,34,30,60.769758671323125
cell_beta_0p07_p_0p00,dataset_006_seed_603234,48,30,30,True,69,123,8,30,69.57106120298253
cell_beta_0p07_p_0p00,dataset_007_seed_703234,48,30,30,True,62,126,12,30,63.08328719180614
cell_beta_0p07_p_0p00,dataset_008_seed_803234,48,30,30,True,53,130,17,30,60.73788524052618
cell_beta_0p07_p_0p00,dataset_009_seed_903234,48,30,30,True,61,123,16,30,63.84697724403638
cell_beta_0p07_p_0p00,dataset_010_seed_1003234,48,30,30,True,63,99,38,30,73.17787339864464
cell_beta_0p07_p_0p00,dataset_011_seed_1103234,48,30,30,True,67,131,2,30,58.6168665577513
cell_beta_0p07_p_0p00,dataset_012_seed_1203234,48,30,30,True,57,122,21,30,55.38710368108036
cell_beta_0p07_p_0p00,dataset_013_seed_1303234,48,30,30,True,54,133,13,30,63.718735626234576
cell_beta_0p07_p_0p00,dataset_014_seed_1403234,48,30,30,True,58,107,35,30,64.2293029669356
cell_beta_0p07_p_0p00,dataset_015_seed_1503234,48,30,30,True,73,114,13,30,61.094808034619795
cell_beta_0p07_p_0p00,dataset_016_seed_1603234,48,30,30,True,55,127,18,30,66.41898518989719
cell_beta_0p07_p_0p00,dataset_017_seed_1703234,48,30,30,True,66,119,15,30,63.34312283057512
cell_beta_0p07_p_0p00,dataset_018_seed_1803234,48,30,30,True,58,139,3,30,56.11239987060395
cell_beta_0p07_p_0p00,dataset_019_seed_1903234,48,30,30,True,55,135,10,30,68.24956335391319
cell_beta_0p07_p_0p00,dataset_020_seed_2003234,48,30,30,True,55,121,24,30,67.9044935357186
