pair_id,digit_a,digit_b,label,dataset_path,n_train,n_test,feature_dim,train_label_balance,test_label_balance,train_digit_balance,test_digit_balance
pair_0_1,0,1,0/1,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_0_1/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'0': 256, '1': 256}","{'0': 1024, '1': 1024}"
pair_0_2,0,2,0/2,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_0_2/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'0': 256, '2': 256}","{'0': 1024, '2': 1024}"
pair_0_3,0,3,0/3,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_0_3/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'0': 256, '3': 256}","{'0': 1024, '3': 1024}"
pair_0_4,0,4,0/4,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_0_4/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'0': 256, '4': 256}","{'0': 1024, '4': 1024}"
pair_0_5,0,5,0/5,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_0_5/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'0': 256, '5': 256}","{'0': 1024, '5': 1024}"
pair_0_6,0,6,0/6,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_0_6/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'0': 256, '6': 256}","{'0': 1024, '6': 1024}"
pair_0_7,0,7,0/7,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_0_7/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'0': 256, '7': 256}","{'0': 1024, '7': 1024}"
pair_0_8,0,8,0/8,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_0_8/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'0': 256, '8': 256}","{'0': 1024, '8': 1024}"
pair_0_9,0,9,0/9,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_0_9/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'0': 256, '9': 256}","{'0': 1024, '9': 1024}"
pair_1_2,1,2,1/2,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_1_2/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'1': 256, '2': 256}","{'1': 1024, '2': 1024}"
pair_1_3,1,3,1/3,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_1_3/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'1': 256, '3': 256}","{'1': 1024, '3': 1024}"
pair_1_4,1,4,1/4,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_1_4/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'1': 256, '4': 256}","{'1': 1024, '4': 1024}"
pair_1_5,1,5,1/5,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_1_5/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'1': 256, '5': 256}","{'1': 1024, '5': 1024}"
pair_1_6,1,6,1/6,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_1_6/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'1': 256, '6': 256}","{'1': 1024, '6': 1024}"
pair_1_7,1,7,1/7,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_1_7/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'1': 256, '7': 256}","{'1': 1024, '7': 1024}"
pair_1_8,1,8,1/8,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_1_8/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'1': 256, '8': 256}","{'1': 1024, '8': 1024}"
pair_1_9,1,9,1/9,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_1_9/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'1': 256, '9': 256}","{'1': 1024, '9': 1024}"
pair_2_3,2,3,2/3,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_2_3/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'2': 256, '3': 256}","{'2': 1024, '3': 1024}"
pair_2_4,2,4,2/4,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_2_4/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'2': 256, '4': 256}","{'2': 1024, '4': 1024}"
pair_2_5,2,5,2/5,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_2_5/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'2': 256, '5': 256}","{'2': 1024, '5': 1024}"
pair_2_6,2,6,2/6,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_2_6/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'2': 256, '6': 256}","{'2': 1024, '6': 1024}"
pair_2_7,2,7,2/7,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_2_7/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'2': 256, '7': 256}","{'2': 1024, '7': 1024}"
pair_2_8,2,8,2/8,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_2_8/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'2': 256, '8': 256}","{'2': 1024, '8': 1024}"
pair_2_9,2,9,2/9,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_2_9/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'2': 256, '9': 256}","{'2': 1024, '9': 1024}"
