run,beta_role,beta,source_beta_tag,dataset_count,complexity_metric,complexity_mean,complexity_std,complexity_sem,plot_role,random_baseline_complexity_mean,random_baseline_complexity_sem,random_baseline_point_beta,gap_to_random_baseline_complexity,is_nearest_spin_beta
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,90,3nn_label_disagreement,0.4708333333333333,0.019123992150553257,0.0020158457716976668,spin_beta_curve,0.5017650462962963,0.0018333959988917012,0.05,0.03093171296296293,True
spin_dynamics_90_dataset,spin_sweep_axis,0.07,,90,3nn_label_disagreement,0.44964554398148143,0.020351635723419675,0.002145250766535159,spin_beta_curve,0.5017650462962963,0.0018333959988917012,0.05,0.052119502314814825,False
spin_dynamics_90_dataset,spin_sweep_axis,0.09,,90,3nn_label_disagreement,0.4195891203703703,0.02137341903612683,0.0022529561846453814,spin_beta_curve,0.5017650462962963,0.0018333959988917012,0.05,0.08217592592592593,False
spin_dynamics_90_dataset,spin_sweep_axis,0.11,,90,3nn_label_disagreement,0.3922309027777778,0.023139178331625123,0.0024390835570916787,spin_beta_curve,0.5017650462962963,0.0018333959988917012,0.05,0.10953414351851848,False
spin_dynamics_90_dataset,spin_sweep_axis,0.13,,90,3nn_label_disagreement,0.350462962962963,0.0260331879273671,0.0027441389535226043,spin_beta_curve,0.5017650462962963,0.0018333959988917012,0.05,0.15130208333333328,False
spin_dynamics_90_dataset,spin_sweep_axis,0.15,,90,3nn_label_disagreement,0.29416956018518514,0.0278036770707519,0.0029307648957124844,spin_beta_curve,0.5017650462962963,0.0018333959988917012,0.05,0.20759548611111112,False
spin_dynamics_90_dataset,spin_sweep_axis,0.17,,90,3nn_label_disagreement,0.23522858796296295,0.028445739593975713,0.0029984442281665515,spin_beta_curve,0.5017650462962963,0.0018333959988917012,0.05,0.2665364583333333,False
spin_dynamics_90_dataset,spin_sweep_axis,0.19,,90,3nn_label_disagreement,0.1749710648148148,0.027523996953082518,0.002901284022775846,spin_beta_curve,0.5017650462962963,0.0018333959988917012,0.05,0.3267939814814814,False
spin_dynamics_90_dataset,spin_sweep_axis,0.21,,90,3nn_label_disagreement,0.12774884259259256,0.02128914589119349,0.002244073015192887,spin_beta_curve,0.5017650462962963,0.0018333959988917012,0.05,0.3740162037037037,False
spin_dynamics_90_dataset,spin_sweep_axis,0.23,,90,3nn_label_disagreement,0.09605034722222222,0.021329245186327547,0.0022482998520325847,spin_beta_curve,0.5017650462962963,0.0018333959988917012,0.05,0.40571469907407404,False
spin_dynamics_90_dataset,spin_sweep_axis,0.25,,90,3nn_label_disagreement,0.07660590277777778,0.02084590232681832,0.0021973510411383203,spin_beta_curve,0.5017650462962963,0.0018333959988917012,0.05,0.42515914351851847,False
spin_dynamics_90_dataset,spin_sweep_axis,0.27,,90,3nn_label_disagreement,0.0638671875,0.016705633893673494,0.0017609284286971797,spin_beta_curve,0.5017650462962963,0.0018333959988917012,0.05,0.4378978587962963,False
spin_dynamics_90_dataset,spin_sweep_axis,0.29,,90,3nn_label_disagreement,0.055280671296296297,0.013146283995536003,0.0013857400064437534,spin_beta_curve,0.5017650462962963,0.0018333959988917012,0.05,0.44648437499999993,False
spin_dynamics_90_dataset,spin_sweep_axis,0.31,,90,3nn_label_disagreement,0.05134548611111111,0.012717079632850643,0.0013404978941848628,spin_beta_curve,0.5017650462962963,0.0018333959988917012,0.05,0.45041956018518514,False
spin_dynamics_90_dataset,spin_sweep_axis,0.33,,90,3nn_label_disagreement,0.04468315972222222,0.01106424388799067,0.001166273709121581,spin_beta_curve,0.5017650462962963,0.0018333959988917012,0.05,0.45708188657407406,False
spin_dynamics_90_dataset,spin_sweep_axis,0.35,,90,3nn_label_disagreement,0.04289641203703704,0.011359873526191755,0.0011974358091404792,spin_beta_curve,0.5017650462962963,0.0018333959988917012,0.05,0.4588686342592592,False
spin_dynamics_90_dataset,spin_sweep_axis,0.37,,90,3nn_label_disagreement,0.04227430555555556,0.010784962026521305,0.0011368348160744205,spin_beta_curve,0.5017650462962963,0.0018333959988917012,0.05,0.4594907407407407,False
spin_dynamics_90_dataset,spin_sweep_axis,0.39,,90,3nn_label_disagreement,0.04034288194444444,0.009939612505582332,0.0010477271525711086,spin_beta_curve,0.5017650462962963,0.0018333959988917012,0.05,0.4614221643518518,False
