k,inertia,silhouette,chosen,rule
2,1904.4046044520892,0.1063380305554048,True,low_tv_spectral_teacher
3,1738.8002776814078,0.09102879821368424,False,low_tv_spectral_teacher
4,1662.1080979702933,0.07208246886309173,False,low_tv_spectral_teacher
5,1591.0946259359646,0.07821961546023398,False,low_tv_spectral_teacher
6,1547.34530704032,0.0645053014445675,False,low_tv_spectral_teacher
7,1501.8613941550173,0.05607759938972855,False,low_tv_spectral_teacher
8,1459.0245884744197,0.05537521775936178,False,low_tv_spectral_teacher
2,1912.8422793664747,0.09270928820579843,True,real_even_odd
3,1812.2596975050444,0.05936310167861072,False,real_even_odd
4,1727.1131138031235,0.06296225053138842,False,real_even_odd
5,1670.0849798574388,0.05880662604860313,False,real_even_odd
6,1623.5171220068657,0.056548539488813936,False,real_even_odd
7,1572.2042037988072,0.047916048883917185,False,real_even_odd
8,1533.1989170570255,0.0489270724048928,False,real_even_odd
2,1919.0853166610264,0.10062732413211671,True,teacher_nn
3,1800.6779115565598,0.06950088051999906,False,teacher_nn
4,1730.2540799353162,0.0590952304689688,False,teacher_nn
5,1668.7803107539642,0.06260111177648368,False,teacher_nn
6,1606.9109240387281,0.05350740442269813,False,teacher_nn
7,1574.7302509504423,0.0524069373299591,False,teacher_nn
8,1540.7798592434228,0.04563750389489398,False,teacher_nn
2,1132.6957030411734,0.3741470507341093,True,random_label
3,892.5665718529333,0.26797753978054084,False,random_label
4,781.5307544631864,0.18951331482268968,False,random_label
5,700.7008699942743,0.17859199982459992,False,random_label
6,653.9789411949274,0.17235892336481617,False,random_label
7,619.8406313949639,0.1497635470095291,False,random_label
8,587.3937854190708,0.13916008135267915,False,random_label
