eta,replicate,flip_rate_train,flip_rate_test,abs_flip_error_train,abs_flip_error_test
0.0,0,0.0,0.0,0.0,0.0
0.0,1,0.0,0.0,0.0,0.0
0.0,2,0.0,0.0,0.0,0.0
0.0,3,0.0,0.0,0.0,0.0
0.0,4,0.0,0.0,0.0,0.0
0.0,5,0.0,0.0,0.0,0.0
0.0,6,0.0,0.0,0.0,0.0
0.0,7,0.0,0.0,0.0,0.0
0.0,8,0.0,0.0,0.0,0.0
0.0,9,0.0,0.0,0.0,0.0
0.0,10,0.0,0.0,0.0,0.0
0.0,11,0.0,0.0,0.0,0.0
0.0,12,0.0,0.0,0.0,0.0
0.0,13,0.0,0.0,0.0,0.0
0.0,14,0.0,0.0,0.0,0.0
0.0,15,0.0,0.0,0.0,0.0
0.0,16,0.0,0.0,0.0,0.0
0.0,17,0.0,0.0,0.0,0.0
0.0,18,0.0,0.0,0.0,0.0
0.0,19,0.0,0.0,0.0,0.0
0.02,0,0.0234375,0.01904296875,0.0034374999999999996,0.0009570312500000004
0.02,1,0.0234375,0.017578125,0.0034374999999999996,0.0024218750000000004
0.02,2,0.015625,0.01708984375,0.004375,0.0029101562500000004
0.02,3,0.013671875,0.01806640625,0.006328125,0.0019335937500000004
0.02,4,0.021484375,0.01953125,0.0014843749999999996,0.0004687500000000004
0.02,5,0.021484375,0.0205078125,0.0014843749999999996,0.0005078124999999996
0.02,6,0.02734375,0.0205078125,0.00734375,0.0005078124999999996
0.02,7,0.025390625,0.021484375,0.005390625,0.0014843749999999996
0.02,8,0.015625,0.02001953125,0.004375,1.9531249999999584e-05
0.02,9,0.015625,0.0185546875,0.004375,0.0014453125000000004
0.02,10,0.025390625,0.021484375,0.005390625,0.0014843749999999996
0.02,11,0.021484375,0.01806640625,0.0014843749999999996,0.0019335937500000004
0.02,12,0.0234375,0.0185546875,0.0034374999999999996,0.0014453125000000004
0.02,13,0.015625,0.01611328125,0.004375,0.0038867187500000004
0.02,14,0.01171875,0.02001953125,0.00828125,1.9531249999999584e-05
0.02,15,0.017578125,0.02294921875,0.0024218750000000004,0.0029492187499999996
0.02,16,0.01953125,0.015625,0.0004687500000000004,0.004375
0.02,17,0.0234375,0.01318359375,0.0034374999999999996,0.00681640625
0.02,18,0.015625,0.0185546875,0.004375,0.0014453125000000004
0.02,19,0.01953125,0.02099609375,0.0004687500000000004,0.0009960937499999996
