train_row,mnist_index,digit,label_very_low_tv_spectral_teacher,label_real_even_odd,label_teacher_nn,label_random_label
0,11930,4,1,1,-1,-1
1,24598,8,1,1,1,1
2,14720,4,1,1,1,1
3,19592,7,1,-1,-1,1
4,996,6,1,1,-1,1
5,10383,6,1,1,-1,-1
6,4883,3,1,-1,1,-1
7,46661,0,-1,1,-1,-1
8,47226,2,-1,1,1,-1
9,27646,8,1,1,-1,1
10,66379,3,1,-1,-1,1
11,14215,2,1,1,1,-1
12,68834,5,-1,-1,1,-1
13,58897,0,-1,1,1,-1
14,39991,8,-1,1,-1,-1
15,47519,3,-1,-1,-1,-1
16,12863,7,-1,-1,1,1
17,39715,0,-1,1,-1,1
18,48895,0,-1,1,-1,1
19,58592,6,1,1,1,-1
20,67442,1,-1,-1,-1,1
21,54103,1,-1,-1,-1,-1
22,25173,4,-1,1,1,1
23,10632,8,1,1,1,1
24,6841,2,-1,1,1,1
25,25246,2,1,1,-1,-1
26,31378,4,1,1,1,1
27,26383,3,1,-1,-1,-1
28,69419,7,-1,-1,1,-1
29,62902,1,1,-1,-1,1
30,55930,4,1,1,1,-1
31,46009,7,-1,-1,1,1
32,27146,8,1,1,1,1
33,15523,1,-1,-1,-1,1
34,10083,0,-1,1,-1,-1
35,44245,1,-1,-1,1,1
36,62244,9,-1,-1,-1,1
37,41073,1,1,-1,1,-1
38,67671,0,1,1,-1,1
39,34945,1,-1,-1,-1,1
40,40767,8,-1,1,1,1
41,32216,2,1,1,-1,-1
42,40466,8,1,1,1,1
43,37121,6,1,1,-1,1
44,9149,4,-1,1,1,-1
45,14682,1,-1,-1,-1,-1
46,20257,2,-1,1,-1,1
47,30995,6,1,1,-1,-1
48,60077,2,1,1,-1,-1
49,40576,4,1,1,-1,-1
50,13,6,1,1,-1,-1
51,52249,7,-1,-1,1,1
52,50463,0,-1,1,-1,1
53,51873,4,-1,1,1,1
54,60071,0,-1,1,-1,1
55,51405,5,1,-1,-1,-1
56,56446,6,1,1,-1,1
57,44802,5,1,-1,1,-1
58,33836,7,1,-1,-1,1
59,34551,3,1,-1,1,1
60,3362,2,1,1,-1,-1
61,66223,7,-1,-1,1,1
62,44532,8,1,1,-1,-1
63,10689,0,-1,1,-1,-1
64,55768,1,-1,-1,-1,1
65,40107,2,1,1,1,1
66,56623,8,1,1,-1,-1
67,46892,0,-1,1,-1,1
68,14492,6,-1,1,1,-1
69,31720,3,1,-1,1,1
70,21826,8,1,1,-1,-1
71,19341,7,-1,-1,1,-1
72,42361,6,1,1,-1,-1
73,12010,8,1,1,1,-1
74,59235,8,-1,1,-1,1
75,32599,7,-1,-1,1,1
76,15807,8,-1,1,-1,1
77,25462,6,-1,1,1,-1
78,66378,4,1,1,1,-1
79,47350,1,1,-1,-1,-1
80,12305,9,-1,-1,-1,1
81,36105,7,-1,-1,1,1
82,41869,6,1,1,-1,1
83,15374,5,1,-1,1,1
84,45901,7,-1,-1,-1,1
85,43562,3,-1,-1,1,1
86,7999,4,1,1,-1,-1
87,12158,1,-1,-1,-1,-1
88,18106,9,1,-1,-1,-1
89,54627,9,-1,-1,1,1
90,2451,4,-1,1,1,1
91,11015,9,-1,-1,1,1
92,38112,8,1,1,-1,-1
93,30910,9,1,-1,-1,-1
94,25970,1,-1,-1,-1,1
95,2704,7,-1,-1,1,-1
96,23776,2,1,1,-1,1
97,18269,7,-1,-1,1,-1
98,27343,0,1,1,-1,-1
99,23295,1,-1,-1,-1,-1
100,23461,8,1,1,1,1
101,4967,8,-1,1,1,-1
102,1991,5,-1,-1,-1,-1
103,20973,8,-1,1,-1,-1
104,13488,3,1,-1,-1,-1
105,34387,3,1,-1,-1,-1
106,29117,7,-1,-1,1,1
107,22690,6,1,1,-1,1
108,68079,2,1,1,-1,-1
109,15303,6,1,1,-1,-1
110,39509,3,1,-1,-1,-1
111,54764,0,-1,1,1,1
112,50898,2,1,1,1,-1
113,50707,8,1,1,1,-1
114,12809,1,-1,-1,-1,1
115,61570,0,-1,1,1,-1
116,43817,3,-1,-1,1,-1
117,65726,5,1,-1,1,-1
118,53734,0,-1,1,-1,1
119,33787,4,1,1,1,1
120,32231,1,-1,-1,-1,1
121,35726,6,-1,1,-1,-1
122,54701,8,-1,1,1,-1
123,46986,3,1,-1,-1,-1
124,12109,3,-1,-1,-1,-1
125,18220,6,-1,1,1,-1
126,37384,1,-1,-1,-1,-1
127,45448,6,1,1,1,1
128,13055,8,-1,1,-1,1
129,30883,3,1,-1,-1,-1
130,11394,2,1,1,-1,-1
131,32099,7,-1,-1,1,-1
132,27279,3,1,-1,-1,-1
133,28306,8,-1,1,1,1
134,515,2,-1,1,1,-1
135,40460,4,1,1,1,-1
136,36047,0,-1,1,1,1
137,55157,2,1,1,-1,1
138,6788,8,1,1,1,-1
139,28292,1,-1,-1,1,1
140,6555,5,-1,-1,-1,-1
141,57577,6,-1,1,1,-1
142,33083,4,-1,1,-1,-1
143,48565,6,1,1,-1,1
144,31276,2,1,1,1,1
145,54694,3,1,-1,1,1
146,48485,3,1,-1,1,1
147,4145,0,-1,1,-1,-1
148,49054,3,1,-1,-1,-1
149,4460,4,-1,1,1,-1
150,10881,8,-1,1,-1,-1
151,30406,9,1,-1,-1,1
152,27970,7,1,-1,-1,1
153,61509,4,1,1,-1,-1
154,68233,1,-1,-1,-1,1
155,34622,3,1,-1,-1,1
156,66459,6,1,1,1,-1
157,2049,5,-1,-1,1,1
158,29404,5,1,-1,-1,1
159,63934,8,1,1,1,1
160,33275,9,-1,-1,1,1
161,20626,3,1,-1,-1,1
162,23259,7,-1,-1,1,-1
163,49232,1,1,-1,-1,1
164,12111,8,-1,1,-1,1
165,26310,1,-1,-1,1,1
166,9359,8,1,1,1,-1
167,22960,4,1,1,1,1
168,11403,0,-1,1,1,-1
169,54522,7,-1,-1,1,1
170,53190,9,-1,-1,1,-1
171,41953,9,-1,-1,1,-1
172,40898,3,1,-1,1,1
173,48489,5,1,-1,1,1
174,67035,8,1,1,-1,-1
175,66128,6,1,1,1,1
176,52957,6,1,1,1,1
177,4431,6,1,1,-1,1
178,15043,6,1,1,-1,-1
179,1646,4,1,1,-1,-1
180,42579,0,-1,1,-1,1
181,36344,6,1,1,-1,1
182,50950,3,1,-1,-1,-1
183,30833,3,1,-1,1,1
184,9151,0,-1,1,-1,1
185,68605,6,1,1,-1,1
186,40618,3,1,-1,1,-1
187,60378,1,-1,-1,-1,-1
188,29806,7,-1,-1,1,-1
189,56338,1,1,-1,-1,-1
190,13007,1,-1,-1,-1,1
191,56156,9,1,-1,1,-1
192,16732,3,1,-1,-1,1
193,23378,0,1,1,1,-1
194,27241,8,1,1,1,1
195,28239,9,-1,-1,1,-1
196,41752,5,-1,-1,1,-1
197,18737,0,-1,1,1,1
198,9590,1,-1,-1,-1,-1
199,9269,0,-1,1,-1,-1
200,6877,1,-1,-1,-1,-1
201,232,0,1,1,1,1
202,60676,7,-1,-1,1,-1
203,22263,9,-1,-1,1,1
204,63001,9,1,-1,1,1
205,62319,4,-1,1,-1,-1
206,27498,7,-1,-1,1,1
207,5892,9,1,-1,-1,-1
208,38089,3,1,-1,-1,-1
209,35175,0,-1,1,-1,1
210,26828,9,1,-1,1,1
211,43395,4,-1,1,-1,-1
212,14918,5,1,-1,1,-1
213,26112,5,-1,-1,-1,-1
214,49921,7,1,-1,-1,-1
215,31846,1,-1,-1,-1,1
216,33823,0,-1,1,-1,1
217,63864,0,1,1,1,-1
218,29395,0,-1,1,-1,-1
219,34252,2,-1,1,1,-1
220,40712,7,1,-1,-1,1
221,12972,4,1,1,-1,1
222,55723,2,1,1,-1,-1
223,22648,9,1,-1,-1,1
224,64225,7,1,-1,1,-1
225,61745,9,-1,-1,1,1
226,39440,6,1,1,-1,-1
227,40641,6,-1,1,1,-1
228,31012,1,-1,-1,-1,1
229,45992,7,-1,-1,1,-1
230,17800,7,-1,-1,1,1
231,65787,9,-1,-1,1,1
232,23414,8,-1,1,-1,-1
233,39220,0,1,1,-1,-1
234,16507,6,1,1,1,-1
235,3591,3,1,-1,-1,1
236,20678,1,1,-1,-1,1
237,28371,3,1,-1,1,-1
238,10589,5,-1,-1,1,-1
239,44451,0,-1,1,1,1
240,17824,9,1,-1,1,-1
241,47010,9,-1,-1,1,1
242,25139,2,-1,1,-1,-1
243,13377,0,-1,1,-1,1
244,59101,8,-1,1,-1,-1
245,8141,9,-1,-1,1,-1
246,10107,0,-1,1,-1,1
247,52341,9,-1,-1,1,-1
248,18875,5,-1,-1,1,1
249,12478,7,1,-1,1,1
250,25986,8,1,1,1,1
251,35398,8,1,1,-1,1
252,31811,3,1,-1,-1,-1
253,67378,8,-1,1,-1,-1
254,5004,1,-1,-1,-1,1
255,63407,3,1,-1,1,1
256,52596,0,-1,1,1,1
257,38735,3,1,-1,-1,1
258,10994,3,1,-1,1,-1
259,13388,3,1,-1,-1,1
