rule_id,rule_name,rule,ref,source_ref_id,theta_present,dataset_present,train_error,test_error,theta_norm,train_error_zero
rule_001,very_low_tv_spectral_teacher,very_low_tv_spectral_teacher,ref_001,0,True,True,0.0,0.08837890625,10.596875502899136,True
rule_001,very_low_tv_spectral_teacher,very_low_tv_spectral_teacher,ref_002,1,True,True,0.0,0.09423828125,11.76399576465043,True
rule_001,very_low_tv_spectral_teacher,very_low_tv_spectral_teacher,ref_003,2,True,True,0.0,0.08984375,12.27919352744221,True
rule_001,very_low_tv_spectral_teacher,very_low_tv_spectral_teacher,ref_004,3,True,True,0.0,0.09326171875,12.371874446902753,True
rule_001,very_low_tv_spectral_teacher,very_low_tv_spectral_teacher,ref_005,4,True,True,0.0,0.08154296875,12.542260847100502,True
rule_001,very_low_tv_spectral_teacher,very_low_tv_spectral_teacher,ref_006,5,True,True,0.0,0.09130859375,11.095012497545158,True
rule_001,very_low_tv_spectral_teacher,very_low_tv_spectral_teacher,ref_007,6,True,True,0.0,0.09228515625,11.844037908512956,True
rule_001,very_low_tv_spectral_teacher,very_low_tv_spectral_teacher,ref_008,7,True,True,0.0,0.08984375,11.468476287879252,True
rule_001,very_low_tv_spectral_teacher,very_low_tv_spectral_teacher,ref_009,8,True,True,0.0,0.080078125,13.03713015913437,True
rule_001,very_low_tv_spectral_teacher,very_low_tv_spectral_teacher,ref_010,9,True,True,0.0,0.0830078125,13.180399908918368,True
rule_001,very_low_tv_spectral_teacher,very_low_tv_spectral_teacher,ref_011,10,True,True,0.0,0.087890625,10.933947482323468,True
rule_001,very_low_tv_spectral_teacher,very_low_tv_spectral_teacher,ref_012,11,True,True,0.0,0.09326171875,11.489175582414621,True
rule_001,very_low_tv_spectral_teacher,very_low_tv_spectral_teacher,ref_013,12,True,True,0.0,0.09033203125,12.04059563231859,True
rule_001,very_low_tv_spectral_teacher,very_low_tv_spectral_teacher,ref_014,13,True,True,0.0,0.08837890625,12.945580502487772,True
rule_001,very_low_tv_spectral_teacher,very_low_tv_spectral_teacher,ref_015,14,True,True,0.0,0.0986328125,12.54644659214953,True
rule_001,very_low_tv_spectral_teacher,very_low_tv_spectral_teacher,ref_016,15,True,True,0.0,0.09033203125,11.11763731354048,True
rule_001,very_low_tv_spectral_teacher,very_low_tv_spectral_teacher,ref_017,16,True,True,0.0,0.087890625,11.34683859799089,True
rule_001,very_low_tv_spectral_teacher,very_low_tv_spectral_teacher,ref_018,17,True,True,0.0,0.083984375,12.122536265000214,True
rule_001,very_low_tv_spectral_teacher,very_low_tv_spectral_teacher,ref_019,18,True,True,0.0,0.08740234375,12.858720431873873,True
