cell_id,dataset_tag,width,selected_ref_count,required_selected_refs,require_exact_selected_refs,exact_count,relaxed_count,fake_count,sampling_eligible_count,dedup_threshold
cell_beta_0p05_p_0p00,dataset_000_seed_001234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_001_seed_101234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_002_seed_201234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_003_seed_301234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_004_seed_401234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_005_seed_501234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_006_seed_601234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_007_seed_701234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_008_seed_801234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_009_seed_901234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_010_seed_1001234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_011_seed_1101234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_012_seed_1201234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_013_seed_1301234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_014_seed_1401234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_015_seed_1501234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_016_seed_1601234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_017_seed_1701234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_018_seed_1801234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_019_seed_1901234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_020_seed_2001234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_021_seed_2101234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_022_seed_2201234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_023_seed_2301234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_024_seed_2401234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_025_seed_2501234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_026_seed_2601234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_027_seed_2701234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_028_seed_2801234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_029_seed_2901234,48,30,30,True,,,,30,
cell_beta_0p05_p_0p00,dataset_030_seed_93001234,48,30,30,True,62,97,41,30,
cell_beta_0p05_p_0p00,dataset_031_seed_93101234,48,30,30,True,79,68,53,30,
cell_beta_0p05_p_0p00,dataset_032_seed_93201234,48,30,30,True,81,107,12,30,
cell_beta_0p05_p_0p00,dataset_033_seed_93301234,48,30,30,True,61,80,59,30,
cell_beta_0p05_p_0p00,dataset_034_seed_3401234,48,30,30,True,52,93,55,30,
cell_beta_0p05_p_0p00,dataset_035_seed_3501234,48,30,30,True,43,86,71,30,
cell_beta_0p05_p_0p00,dataset_036_seed_3601234,48,30,30,True,67,86,47,30,
cell_beta_0p05_p_0p00,dataset_037_seed_3701234,48,30,30,True,46,119,35,30,
cell_beta_0p05_p_0p00,dataset_038_seed_3801234,48,30,30,True,67,83,50,30,
cell_beta_0p05_p_0p00,dataset_039_seed_3901234,48,30,30,True,51,105,44,30,
cell_beta_0p05_p_0p00,dataset_040_seed_4001234,48,30,30,True,35,108,57,30,
cell_beta_0p05_p_0p00,dataset_041_seed_4101234,48,30,30,True,67,99,34,30,
cell_beta_0p05_p_0p00,dataset_042_seed_4201234,48,30,30,True,61,100,39,30,
cell_beta_0p05_p_0p00,dataset_043_seed_4301234,48,30,30,True,31,96,73,30,
cell_beta_0p05_p_0p00,dataset_044_seed_4401234,48,30,30,True,62,98,40,30,
cell_beta_0p05_p_0p00,dataset_045_seed_4501234,48,30,30,True,72,101,27,30,
cell_beta_0p05_p_0p00,dataset_046_seed_4601234,48,30,30,True,55,110,35,30,
cell_beta_0p05_p_0p00,dataset_047_seed_4701234,48,30,30,True,51,94,55,30,
cell_beta_0p05_p_0p00,dataset_048_seed_4801234,48,30,30,True,47,92,61,30,
cell_beta_0p05_p_0p00,dataset_049_seed_4901234,48,30,30,True,78,98,24,30,
cell_beta_0p05_p_0p00,dataset_050_seed_5001234,48,30,30,True,39,97,64,30,
cell_beta_0p05_p_0p00,dataset_051_seed_5101234,48,30,30,True,53,68,79,30,
cell_beta_0p05_p_0p00,dataset_052_seed_5201234,48,30,30,True,52,94,54,30,
