source,case_id,case_label,beta,radius,n_units,dphi_full_dr_mean,dphi_full_dr_sem,dphi_energy_dr_mean,dphi_energy_dr_sem,dphi_entropic_dr_mean,dphi_entropic_dr_sem,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,standard_error_source,derivative_source,x_axis_scale
synthetic,beta_0p05,beta=0.05,0.05,0.01,2700,99.96006845676203,1.18134733121e-05,-0.0006388123931805744,1.18134733121e-05,99.96070726915521,1.18134733121e-05,-1.6257775406445618,1.562238272869814,sd_dlogZ_inf_full_dr / P / sqrt(n_units),d_sampling_linear_radius_summary,linear
synthetic,beta_0p05,beta=0.05,0.05,0.02,2700,49.97841358700249,2.6360215908e-05,-0.0019400475751138852,2.6360215908e-05,49.980353634577604,2.6360215908e-05,-4.937421078664838,3.4859297587226195,sd_dlogZ_inf_full_dr / P / sqrt(n_units),d_sampling_linear_radius_summary,linear
synthetic,beta_0p05,beta=0.05,0.05,0.03,2700,33.31690342429861,3.64819336458e-05,-0.0033323320864644375,3.64819336458e-05,33.320235756385074,3.64819336458e-05,-8.480785160051994,4.8244467570217,sd_dlogZ_inf_full_dr / P / sqrt(n_units),d_sampling_linear_radius_summary,linear
synthetic,beta_0p05,beta=0.05,0.05,0.04,2700,24.98563674532021,4.25644335929e-05,-0.0045400719685921255,4.25644335929e-05,24.990176817288802,4.25644335929e-05,-11.55448316006696,5.628809196497254,sd_dlogZ_inf_full_dr / P / sqrt(n_units),d_sampling_linear_radius_summary,linear
synthetic,beta_0p05,beta=0.05,0.05,0.05,2700,19.986626859078854,4.62640659973e-05,-0.005514594752187747,4.62640659973e-05,19.992141453831042,4.62640659973e-05,-14.034643644317818,6.11805627778603,sd_dlogZ_inf_full_dr / P / sqrt(n_units),d_sampling_linear_radius_summary,linear
synthetic,beta_0p05,beta=0.05,0.05,0.06,2700,16.653853080596782,4.84962934835e-05,-0.006264797595753121,4.84962934835e-05,16.660117878192537,4.84962934835e-05,-15.943909881191694,6.4132506817107275,sd_dlogZ_inf_full_dr / P / sqrt(n_units),d_sampling_linear_radius_summary,linear
synthetic,beta_0p05,beta=0.05,0.05,0.07,2700,14.273273759786347,4.98950182804e-05,-0.00682727866439619,4.98950182804e-05,14.280101038450743,4.98950182804e-05,-17.375424200888304,6.598220957016391,sd_dlogZ_inf_full_dr / P / sqrt(n_units),d_sampling_linear_radius_summary,linear
synthetic,beta_0p05,beta=0.05,0.05,0.08,2700,12.487851737494102,5.06338339257e-05,-0.007236671150299398,5.06338339257e-05,12.495088408644401,5.06338339257e-05,-18.417328077511968,6.6959234740732425,sd_dlogZ_inf_full_dr / P / sqrt(n_units),d_sampling_linear_radius_summary,linear
synthetic,beta_0p05,beta=0.05,0.05,0.09,2700,11.09921677774761,5.11425809465e-05,-0.0075284743807460825,5.11425809465e-05,11.106745252128357,5.11425809465e-05,-19.15996729899878,6.763201237869216,sd_dlogZ_inf_full_dr / P / sqrt(n_units),d_sampling_linear_radius_summary,linear
synthetic,beta_0p05,beta=0.05,0.05,0.1,2700,9.988348285268073,5.12902921657e-05,-0.007722441647448704,5.12902921657e-05,9.996070726915521,5.12902921657e-05,-19.653613992756952,6.782734876606951,sd_dlogZ_inf_full_dr / P / sqrt(n_units),d_sampling_linear_radius_summary,linear
synthetic,beta_0p05,beta=0.05,0.05,0.11,2700,9.079494091408957,5.12714378834e-05,-0.007842933059699757,5.12714378834e-05,9.087337024468656,5.12714378834e-05,-19.960264636935882,6.780241547118486,sd_dlogZ_inf_full_dr / P / sqrt(n_units),d_sampling_linear_radius_summary,linear
synthetic,beta_0p05,beta=0.05,0.05,0.12,2700,8.32215361521522,5.11713053794e-05,-0.007905323881050015,5.11713053794e-05,8.330058939096268,5.11713053794e-05,-20.119049277272286,6.766999816597177,sd_dlogZ_inf_full_dr / P / sqrt(n_units),d_sampling_linear_radius_summary,linear
synthetic,beta_0p05,beta=0.05,0.05,0.13,2700,7.681360952204671,5.09509496904e-05,-0.00792422234572883,5.09509496904e-05,7.6892851745504,5.09509496904e-05,-20.167145869879874,6.737859522121317,sd_dlogZ_inf_full_dr / P / sqrt(n_units),d_sampling_linear_radius_summary,linear
synthetic,beta_0p05,beta=0.05,0.05,0.14,2700,7.132143874426054,5.06765906121e-05,-0.007906644799317516,5.06765906121e-05,7.140050519225372,5.06765906121e-05,-20.122411014263076,6.701577707174858,sd_dlogZ_inf_full_dr / P / sqrt(n_units),d_sampling_linear_radius_summary,linear
synthetic,beta_0p05,beta=0.05,0.05,0.15,2700,6.656185014276116,5.0265477887e-05,-0.007862137000897594,5.0265477887e-05,6.664047151277014,5.0265477887e-05,-20.00913866728438,6.647211305644877,sd_dlogZ_inf_full_dr / P / sqrt(n_units),d_sampling_linear_radius_summary,linear
synthetic,beta_0p05,beta=0.05,0.05,0.16,2700,6.239749437663899,4.98413572478e-05,-0.007794766658302059,4.98413572478e-05,6.2475442043222005,4.98413572478e-05,-19.837681145378742,6.5911247104944195,sd_dlogZ_inf_full_dr / P / sqrt(n_units),d_sampling_linear_radius_summary,linear
synthetic,beta_0p05,beta=0.05,0.05,0.17,2700,5.872327629936899,4.93422064832e-05,-0.007713974131054208,4.93422064832e-05,5.880041604067953,4.93422064832e-05,-19.63206416353296,6.525115975576813,sd_dlogZ_inf_full_dr / P / sqrt(n_units),d_sampling_linear_radius_summary,linear
synthetic,beta_0p05,beta=0.05,0.05,0.18,2700,5.545751863811569,4.88139957435e-05,-0.007620762252609251,4.88139957435e-05,5.553372626064179,4.88139957435e-05,-19.394839932890545,6.455264289129823,sd_dlogZ_inf_full_dr / P / sqrt(n_units),d_sampling_linear_radius_summary,linear
synthetic,beta_0p05,beta=0.05,0.05,0.19,2700,5.2535708564300005,4.83250823652e-05,-0.007518999841326031,4.83250823652e-05,5.261089856271327,4.83250823652e-05,-19.13585459617475,6.39060936744568,sd_dlogZ_inf_full_dr / P / sqrt(n_units),d_sampling_linear_radius_summary,linear
synthetic,beta_0p05,beta=0.05,0.05,0.2,2700,4.99062651876858,4.77228750406e-05,-0.007408844689180733,4.77228750406e-05,4.998035363457761,4.77228750406e-05,-18.855509733964965,6.310972218764738,sd_dlogZ_inf_full_dr / P / sqrt(n_units),d_sampling_linear_radius_summary,linear
