task_index,eta,rule,ref_id,radius,samples_per_ref_radius
0,0.0,eta_0p00,0,0.1,128
1,0.0,eta_0p00,0,0.8,128
2,0.0,eta_0p00,0,0.9,128
3,0.0,eta_0p00,0,1.0,128
4,0.0,eta_0p00,0,1.1,128
5,0.0,eta_0p00,1,0.1,128
6,0.0,eta_0p00,1,0.8,128
7,0.0,eta_0p00,1,0.9,128
8,0.0,eta_0p00,1,1.0,128
9,0.0,eta_0p00,1,1.1,128
10,0.0,eta_0p00,2,0.1,128
11,0.0,eta_0p00,2,0.8,128
12,0.0,eta_0p00,2,0.9,128
13,0.0,eta_0p00,2,1.0,128
14,0.0,eta_0p00,2,1.1,128
15,0.2,eta_0p20,0,0.1,128
16,0.2,eta_0p20,0,0.8,128
17,0.2,eta_0p20,0,0.9,128
18,0.2,eta_0p20,0,1.0,128
19,0.2,eta_0p20,0,1.1,128
20,0.2,eta_0p20,1,0.1,128
21,0.2,eta_0p20,1,0.8,128
22,0.2,eta_0p20,1,0.9,128
23,0.2,eta_0p20,1,1.0,128
24,0.2,eta_0p20,1,1.1,128
25,0.2,eta_0p20,2,0.1,128
26,0.2,eta_0p20,2,0.8,128
27,0.2,eta_0p20,2,0.9,128
28,0.2,eta_0p20,2,1.0,128
29,0.2,eta_0p20,2,1.1,128
30,0.35,eta_0p35,0,0.1,128
31,0.35,eta_0p35,0,0.8,128
32,0.35,eta_0p35,0,0.9,128
33,0.35,eta_0p35,0,1.0,128
34,0.35,eta_0p35,0,1.1,128
35,0.35,eta_0p35,1,0.1,128
36,0.35,eta_0p35,1,0.8,128
37,0.35,eta_0p35,1,0.9,128
38,0.35,eta_0p35,1,1.0,128
39,0.35,eta_0p35,1,1.1,128
40,0.35,eta_0p35,2,0.1,128
41,0.35,eta_0p35,2,0.8,128
42,0.35,eta_0p35,2,0.9,128
43,0.35,eta_0p35,2,1.0,128
44,0.35,eta_0p35,2,1.1,128
45,0.5,eta_0p50,0,0.1,128
46,0.5,eta_0p50,0,0.8,128
47,0.5,eta_0p50,0,0.9,128
48,0.5,eta_0p50,0,1.0,128
49,0.5,eta_0p50,0,1.1,128
50,0.5,eta_0p50,1,0.1,128
51,0.5,eta_0p50,1,0.8,128
52,0.5,eta_0p50,1,0.9,128
53,0.5,eta_0p50,1,1.0,128
54,0.5,eta_0p50,1,1.1,128
55,0.5,eta_0p50,2,0.1,128
56,0.5,eta_0p50,2,0.8,128
57,0.5,eta_0p50,2,0.9,128
58,0.5,eta_0p50,2,1.0,128
59,0.5,eta_0p50,2,1.1,128
